SPAWNPOINT,100,200
ENEMY,0,200,WILLOWISP,0,300
ENEMY,300,300,WILLOWISP,0,300
MOVINGPLATFORM,0,72,6,VERTICAL,72,150
PLATFORM,700,100,1
ENEMY,750,172,FIREBALL,700,850
WALL,900,72,3
GROUND,900,0,1800
PLATFORM,1200,260,2
PLATFORM,1400,120,2
PLATFORM,1650,380,2
CHECKPOINT,1680,452
PLATFORM,1900,500,3
PLATFORM,2300,200,2
PLATFORM,2550,250,2
PLATFORM,2800,180,2
ENEMY,2850,172,FIREBALL,2800,3000
ENEMY,2950,250,FIREMAGE,2900,3100
PLATFORM,3050,100,3
ENEMY,3100,172,FIREBALL,3050,3250
PLATFORM,3450,0,2
ENEMY,3500,50,FIREMAGE,3450,3550
ENEMY,3600,172,FIREBALL,3550,3700
PLATFORM,3750,0,2
PLATFORM,4050,0,2
PLATFORM,4300,150,4
ENEMY,4400,250,FIREMAGE,4300,4500
PLATFORM,4600,200,1
PLATFORM,4720,250,1
ENEMY,4750,372,FIREBALL,4720,4850
PLATFORM,4900,180,5
PREFAB,5400,0,10
