SPAWNPOINT,100,122
ENEMY,800,122,FIREBALL,800,1000
ENEMY,1100,222,FIREBALL,1000,1300
ENEMY,1800,272,FIREBALL,1700,2100
ENEMY,2500,322,FIREBALL,2400,2800
ENEMY,3200,222,FIREBALL,3100,3500
PLATFORM,0,50,WIDE
PLATFORM,300,100,NARROW
PLATFORM,550,150,NARROW
PLATFORM,800,50,NARROW
PLATFORM,1050,150,WIDE
PLATFORM,1400,200,NARROW
PLATFORM,1650,100,NARROW
PLATFORM,1900,150,NARROW
PLATFORM,2150,250,NARROW
PLATFORM,2400,250,WIDE
PLATFORM,2800,200,NARROW
PLATFORM,3050,150,NARROW
PLATFORM,3300,100,NARROW
PLATFORM,3550,50,NARROW
