SPAWNPOINT,100,100
GROUND,0,400,4200
ENEMY,100,200,FIREMAGE,0,300
PLATFORM,0,0,5
PLATFORM,450,0,1
PLATFORM,700,100,1
ENEMY,750,172,FIREBALL,700,850
PLATFORM,900,180,2
PLATFORM,1200,180,2
PLATFORM,1400,100,2
PLATFORM,1650,50,2
CHECKPOINT,1680,122
PLATFORM,1900,150,3
PLATFORM,2300,200,2
PLATFORM,2550,250,2
PLATFORM,2800,180,2
ENEMY,2850,172,FIREBALL,2800,3000
ENEMY,2950,250,FIREMAGE,2900,3100
PLATFORM,3050,100,3
ENEMY,3100,172,FIREBALL,3050,3250
PLATFORM,3450,0,2
ENEMY,3500,50,FIREMAGE,3450,3550
ENEMY,3600,172,FIREBALL,3550,3700
PLATFORM,3750,0,2
PLATFORM,4050,0,2
PLATFORM,4300,150,4
ENEMY,4400,250,FIREMAGE,4300,4500
PLATFORM,4600,200,1
PLATFORM,4720,250,1
ENEMY,4750,172,FIREBALL,4720,4850
PLATFORM,4900,180,5
